number,citation_key,type,title,authors_or_org,year,venue_or_publisher,doi,url,manuscript_role,local_copy,access_notes
14,nerc_2019_interconnection_oscillation,technical_report,Interconnection oscillation analysis,North American Electric Reliability Corporation,2019,NERC,,https://www.ercot.com/files/docs/2019/10/02/Interconnection_Oscillation_Analysis_NERC.pdf,interconnection oscillation context,downloads/ref14_nerc_interconnection_oscillation_analysis_2019.pdf,NERC report; official NERC PDF path returned 404 on 2026-06-07; ERCOT mirror downloaded
15,shehabi_2024_us_data_center_energy,report,2024 United States Data Center Energy Usage Report,Shehabi et al.,2024,Lawrence Berkeley National Laboratory,10.71468/P1WC7Q,https://escholarship.org/uc/item/32d6m0d1,data-center energy demand context,downloads/ref15_lbnl_us_data_center_energy_usage_2024.pdf,official eScholarship/LBNL PDF provided by author
16,epri_2024_powering_intelligence,white_paper,Powering Intelligence: Analyzing Artificial Intelligence and Data Center Energy Consumption,Electric Power Research Institute,2024,EPRI,,https://restservice.epri.com/publicdownload/000000003002028905/0/Product,AI/data-center load-growth context,downloads/ref16_epri_powering_intelligence_2024.pdf,public PDF
17,iea_2025_energy_and_ai,report,Energy and AI,International Energy Agency,2025,IEA,,https://www.iea.org/reports/energy-and-ai,global AI/data-center energy context,,web report
18,shrestha_2018_380vdc_data_centers,journal_article,Efficiency and reliability analyses of AC and 380 V DC distribution in data centers,Shrestha et al.,2018,IEEE Access,10.1109/ACCESS.2018.2877354,https://doi.org/10.1109/ACCESS.2018.2877354,DC data-center distribution precedent,,open journal DOI
19,ocp_2026_lvdc_whitepaper,white_paper,Data Center Facility Power Distribution LVDC White Paper version 1.0,Open Compute Project,2026,Open Compute Project,,https://www.opencompute.org/documents/dcf-power-distribution-lvdc-white-paper-version-1-0-final-pdf-1,industry LVDC architecture context,downloads/ref19_ocp_lvdc_white_paper_2026.pdf,official OCP PDF provided by author
20,she_2013_sst_review,journal_article,Review of solid-state transformer technologies and their application in power distribution systems,"She; Huang; Burgos",2013,IEEE Journal of Emerging and Selected Topics in Power Electronics,10.1109/JESTPE.2013.2277917,https://doi.org/10.1109/JESTPE.2013.2277917,SST technology background,downloads/ref20_she_sst_review_2013.pdf,author-provided PDF for review; DOI retained
21,cigre_2013_hvdc_grid_feasibility,technical_brochure,HVDC grid feasibility study,CIGRE Working Group B4.52,2013,CIGRE Technical Brochure 533,,https://www.e-cigre.org/publications/detail/533-hvdc-grid-feasibility-study.html,HVDC-grid feasibility context,,not downloaded; CIGRE purchase cost barrier reported by author
22,cigre_2018_hvdc_grid_protection,technical_brochure,Protection and local control of HVDC-grids,CIGRE Joint Working Group B4/B5.59,2018,CIGRE Technical Brochure 739,,https://www.e-cigre.org/publications/detail/739-protection-and-local-control-of-hvdc-grids.html,DC-grid protection context,,not downloaded; CIGRE purchase cost barrier reported by author
23,cigre_2021_dcdc_hvdc_grids,technical_brochure,DC-DC converters in HVDC grids and for connections to HVDC systems,CIGRE Working Group B4.76,2021,CIGRE Technical Brochure 827,,https://electra.cigre.org/315-april-2021/technical-brochures/dc-dc-converters-in-hvdc-grids-and-for-connections-to-hvdc-systems.html,HVDC-to-MVDC DC/DC interface context,downloads/ref23_cigre_dcdc_converters_hvdc_grids_2021.pdf,downloadable CIGRE Electra article/summary PDF for TB827; full e-cigre brochure remains purchase access
24,colangelo_2026_ai_data_centres_grid_interactive,journal_article,AI data centres as grid-interactive assets,Colangelo et al.,2026,Nature Energy,10.1038/s41560-025-01927-1,https://doi.org/10.1038/s41560-025-01927-1,candidate Nature Portfolio support for grid-interactive AI data centres,downloads/ref24_colangelo_ai_data_centres_grid_interactive_assets_2026.pdf,author-provided Nature Energy PDF for local review; restrictions apply
25,xiao_2025_sustainable_ai_servers_usa,journal_article,Environmental impact and net-zero pathways for sustainable artificial intelligence servers in the USA,Xiao et al.,2025,Nature Sustainability,10.1038/s41893-025-01681-y,https://doi.org/10.1038/s41893-025-01681-y,candidate Nature Portfolio support for U.S. AI-server energy/water/carbon impacts,downloads/ref25_xiao_sustainable_ai_servers_usa_2025.pdf,open-access Nature Sustainability PDF downloaded
26,kemp_2025_transmission_value_us_power_markets,journal_article,Electric transmission value and its drivers in United States power markets,Kemp et al.,2025,Nature Communications,10.1038/s41467-025-63143-5,https://doi.org/10.1038/s41467-025-63143-5,candidate Nature Portfolio support for transmission planning and controllable transfer value,downloads/ref26_kemp_transmission_value_us_power_markets_2025.pdf,open-access Nature Communications PDF downloaded
27,yang_2025_inverter_dynamic_modeling,journal_article,Data-driven dynamic modeling for inverter-based resources using neural networks,Yang et al.,2025,Nature Communications,10.1038/s41467-025-66604-z,https://doi.org/10.1038/s41467-025-66604-z,candidate Nature Portfolio support for inverter-dominated power-system dynamic modeling,downloads/ref27_yang_inverter_dynamic_modeling_2025.pdf,open-access Nature Communications PDF downloaded
28,kim_2026_flexibility_aware_data_center_siting,journal_article,Flexibility-aware framework for efficient planner-initiated siting of data center,"Kim; Dong; Xie",2026,Nature Communications,10.1038/s41467-026-72324-9,https://doi.org/10.1038/s41467-026-72324-9,candidate Nature Communications support for flexible-load-aware data-center siting,downloads/ref28_kim_flexibility_aware_data_center_siting_2026.pdf,open-access Nature Communications Article-in-Press PDF downloaded; access page also saved locally
